service_id,date,exception_type
01-179,20250108,1
01-170,20250108,2
09-172,20250108,1
09-170,20250108,2
81-179,20250108,1
81-170,20250108,2
09-172,20250109,1
09-170,20250109,2
09-172,20250110,1
09-170,20250110,2
01-104,20250113,1
01-170,20250113,2
06-100,20250113,1
06-170,20250113,2
09-100,20250113,1
09-170,20250113,2
13-100,20250113,1
13-170,20250113,2
21-100,20250113,1
21-170,20250113,2
25-100,20250113,1
25-170,20250113,2
29-100,20250113,1
29-170,20250113,2
33-100,20250113,1
33-170,20250113,2
37-100,20250113,1
37-170,20250113,2
45-100,20250113,1
45-170,20250113,2
49-100,20250113,1
49-170,20250113,2
53-100,20250113,1
53-170,20250113,2
57-100,20250113,1
57-170,20250113,2
61-100,20250113,1
61-170,20250113,2
65-100,20250113,1
65-170,20250113,2
69-100,20250113,1
69-170,20250113,2
77-100,20250113,1
77-170,20250113,2
81-100,20250113,1
81-170,20250113,2
85-100,20250113,1
85-170,20250113,2
01-179,20250122,1
01-170,20250122,2
81-179,20250122,1
81-170,20250122,2
09-172,20250124,1
09-170,20250124,2
01-179,20250129,1
01-170,20250129,2
81-179,20250129,1
81-170,20250129,2
09-172,20250131,1
09-170,20250131,2
01-179,20250205,1
01-170,20250205,2
81-179,20250205,1
81-170,20250205,2
01-104,20250211,1
01-170,20250211,2
06-100,20250211,1
06-170,20250211,2
09-100,20250211,1
09-170,20250211,2
13-100,20250211,1
13-170,20250211,2
21-100,20250211,1
21-170,20250211,2
25-100,20250211,1
25-170,20250211,2
29-100,20250211,1
29-170,20250211,2
33-100,20250211,1
33-170,20250211,2
37-100,20250211,1
37-170,20250211,2
45-100,20250211,1
45-170,20250211,2
49-100,20250211,1
49-170,20250211,2
53-100,20250211,1
53-170,20250211,2
57-100,20250211,1
57-170,20250211,2
61-100,20250211,1
61-170,20250211,2
65-100,20250211,1
65-170,20250211,2
69-100,20250211,1
69-170,20250211,2
77-100,20250211,1
77-170,20250211,2
81-100,20250211,1
81-170,20250211,2
85-100,20250211,1
85-170,20250211,2
01-179,20250219,1
01-170,20250219,2
81-179,20250219,1
81-170,20250219,2
01-104,20250224,1
01-170,20250224,2
06-100,20250224,1
06-170,20250224,2
09-100,20250224,1
09-170,20250224,2
13-100,20250224,1
13-170,20250224,2
21-100,20250224,1
21-170,20250224,2
25-100,20250224,1
25-170,20250224,2
29-100,20250224,1
29-170,20250224,2
33-100,20250224,1
33-170,20250224,2
37-100,20250224,1
37-170,20250224,2
45-100,20250224,1
45-170,20250224,2
49-100,20250224,1
49-170,20250224,2
53-100,20250224,1
53-170,20250224,2
57-100,20250224,1
57-170,20250224,2
61-100,20250224,1
61-170,20250224,2
65-100,20250224,1
65-170,20250224,2
69-100,20250224,1
69-170,20250224,2
77-100,20250224,1
77-170,20250224,2
81-100,20250224,1
81-170,20250224,2
85-100,20250224,1
85-170,20250224,2
01-179,20250305,1
01-170,20250305,2
81-179,20250305,1
81-170,20250305,2
