service_id,date,exception_type
01-179,20241211,1
01-170,20241211,2
81-179,20241211,1
81-170,20241211,2
09-172,20241213,1
09-170,20241213,2
09-172,20241216,1
09-170,20241216,2
09-172,20241217,1
09-170,20241217,2
01-179,20241218,1
01-170,20241218,2
09-172,20241218,1
09-170,20241218,2
81-179,20241218,1
81-170,20241218,2
09-172,20241219,1
09-170,20241219,2
09-172,20241220,1
09-170,20241220,2
09-174,20241223,1
09-170,20241223,2
09-174,20241224,1
09-170,20241224,2
37-171,20241224,1
37-170,20241224,2
01-179,20241225,1
01-170,20241225,2
09-174,20241225,1
09-170,20241225,2
37-171,20241225,1
37-170,20241225,2
81-179,20241225,1
81-170,20241225,2
09-174,20241226,1
09-170,20241226,2
29-171,20241226,1
29-170,20241226,2
37-171,20241226,1
37-170,20241226,2
09-174,20241227,1
09-170,20241227,2
29-171,20241227,1
29-170,20241227,2
37-171,20241227,1
37-170,20241227,2
06-360,20241228,1
06-160,20241228,2
09-161,20241228,1
09-160,20241228,2
21-360,20241228,1
21-160,20241228,2
29-360,20241228,1
29-160,20241228,2
37-161,20241228,1
37-160,20241228,2
61-100,20241228,1
61-160,20241228,2
69-100,20241228,1
69-160,20241228,2
77-100,20241228,1
77-160,20241228,2
01-105,20241229,1
01-100,20241229,2
09-101,20241229,1
09-100,20241229,2
81-109,20241229,1
81-100,20241229,2
06-300,20241230,1
06-170,20241230,2
09-101,20241230,1
09-170,20241230,2
13-100,20241230,1
13-170,20241230,2
21-100,20241230,1
21-170,20241230,2
25-100,20241230,1
25-170,20241230,2
33-100,20241230,1
33-170,20241230,2
37-100,20241230,1
37-170,20241230,2
45-100,20241230,1
45-170,20241230,2
49-300,20241230,1
49-170,20241230,2
53-100,20241230,1
53-170,20241230,2
57-100,20241230,1
57-170,20241230,2
61-100,20241230,1
61-170,20241230,2
65-300,20241230,1
65-170,20241230,2
69-100,20241230,1
69-170,20241230,2
77-300,20241230,1
77-170,20241230,2
81-301,20241230,1
81-170,20241230,2
85-101,20241230,1
85-170,20241230,2
06-300,20241231,1
06-170,20241231,2
09-101,20241231,1
09-170,20241231,2
13-100,20241231,1
13-170,20241231,2
21-100,20241231,1
21-170,20241231,2
25-100,20241231,1
25-170,20241231,2
33-100,20241231,1
33-170,20241231,2
37-100,20241231,1
37-170,20241231,2
45-100,20241231,1
45-170,20241231,2
49-100,20241231,1
49-170,20241231,2
53-100,20241231,1
53-170,20241231,2
57-100,20241231,1
57-170,20241231,2
61-100,20241231,1
61-170,20241231,2
65-100,20241231,1
65-170,20241231,2
69-100,20241231,1
69-170,20241231,2
77-100,20241231,1
77-170,20241231,2
81-300,20241231,1
81-170,20241231,2
85-101,20241231,1
85-170,20241231,2
01-100,20250101,1
01-170,20250101,2
06-100,20250101,1
06-170,20250101,2
09-101,20250101,1
09-170,20250101,2
13-100,20250101,1
13-170,20250101,2
21-100,20250101,1
21-170,20250101,2
25-100,20250101,1
25-170,20250101,2
33-100,20250101,1
33-170,20250101,2
37-300,20250101,1
37-170,20250101,2
45-100,20250101,1
45-170,20250101,2
49-100,20250101,1
49-170,20250101,2
53-100,20250101,1
53-170,20250101,2
57-100,20250101,1
57-170,20250101,2
61-100,20250101,1
61-170,20250101,2
65-391,20250101,1
65-170,20250101,2
69-100,20250101,1
69-170,20250101,2
77-100,20250101,1
77-170,20250101,2
81-100,20250101,1
81-170,20250101,2
85-100,20250101,1
85-170,20250101,2
06-300,20250102,1
06-170,20250102,2
09-101,20250102,1
09-170,20250102,2
13-100,20250102,1
13-170,20250102,2
21-100,20250102,1
21-170,20250102,2
25-100,20250102,1
25-170,20250102,2
33-100,20250102,1
33-170,20250102,2
37-300,20250102,1
37-170,20250102,2
45-100,20250102,1
45-170,20250102,2
49-100,20250102,1
49-170,20250102,2
53-100,20250102,1
53-170,20250102,2
57-100,20250102,1
57-170,20250102,2
61-100,20250102,1
61-170,20250102,2
65-391,20250102,1
65-170,20250102,2
69-100,20250102,1
69-170,20250102,2
77-100,20250102,1
77-170,20250102,2
81-300,20250102,1
81-170,20250102,2
85-100,20250102,1
85-170,20250102,2
06-300,20250103,1
06-170,20250103,2
09-101,20250103,1
09-170,20250103,2
13-100,20250103,1
13-170,20250103,2
21-100,20250103,1
21-170,20250103,2
25-100,20250103,1
25-170,20250103,2
33-100,20250103,1
33-170,20250103,2
37-300,20250103,1
37-170,20250103,2
45-100,20250103,1
45-170,20250103,2
49-100,20250103,1
49-170,20250103,2
53-100,20250103,1
53-170,20250103,2
57-100,20250103,1
57-170,20250103,2
61-100,20250103,1
61-170,20250103,2
65-391,20250103,1
65-170,20250103,2
69-100,20250103,1
69-170,20250103,2
77-100,20250103,1
77-170,20250103,2
81-300,20250103,1
81-170,20250103,2
85-100,20250103,1
85-170,20250103,2
06-360,20250104,1
06-160,20250104,2
09-101,20250104,1
09-160,20250104,2
13-100,20250104,1
13-160,20250104,2
21-391,20250104,1
21-160,20250104,2
33-100,20250104,1
33-160,20250104,2
37-161,20250104,1
37-160,20250104,2
57-100,20250104,1
57-160,20250104,2
61-100,20250104,1
61-160,20250104,2
65-100,20250104,1
65-160,20250104,2
69-100,20250104,1
69-160,20250104,2
77-100,20250104,1
77-160,20250104,2
81-100,20250104,1
81-160,20250104,2
85-101,20250104,1
85-160,20250104,2
09-101,20250105,1
09-100,20250105,2
81-109,20250105,1
81-100,20250105,2
09-174,20250106,1
09-170,20250106,2
09-174,20250107,1
09-170,20250107,2
81-179,20250108,1
81-170,20250108,2
01-100,20250113,1
01-170,20250113,2
06-100,20250113,1
06-170,20250113,2
09-100,20250113,1
09-170,20250113,2
13-100,20250113,1
13-170,20250113,2
21-100,20250113,1
21-170,20250113,2
25-100,20250113,1
25-170,20250113,2
33-100,20250113,1
33-170,20250113,2
37-100,20250113,1
37-170,20250113,2
45-100,20250113,1
45-170,20250113,2
49-100,20250113,1
49-170,20250113,2
53-100,20250113,1
53-170,20250113,2
57-100,20250113,1
57-170,20250113,2
61-100,20250113,1
61-170,20250113,2
65-100,20250113,1
65-170,20250113,2
69-100,20250113,1
69-170,20250113,2
77-100,20250113,1
77-170,20250113,2
81-100,20250113,1
81-170,20250113,2
85-100,20250113,1
85-170,20250113,2
81-179,20250122,1
81-170,20250122,2
81-179,20250129,1
81-170,20250129,2
